(0, 4)
(1, 5)
(1, 18)
(2, 6)
(2, 11)
(3, 7)
(3, 16)
(3, 21)
(4, 5)
(4, 8)
(5, 9)
(5, 22)
(6, 10)
(6, 15)
(7, 11)
(7, 20)
(7, 25)
(8, 9)
(8, 12)
(9, 13)
(9, 26)
(10, 14)
(10, 19)
(11, 15)
(11, 24)
(11, 29)
(12, 13)
(12, 16)
(13, 17)
(13, 30)
(14, 18)
(14, 23)
(15, 19)
(15, 28)
(15, 33)
(16, 17)
(16, 20)
(17, 21)
(17, 34)
(18, 22)
(18, 27)
(19, 23)
(19, 32)
(19, 37)
(20, 21)
(20, 24)
(21, 25)
(21, 38)
(22, 26)
(22, 31)
(23, 27)
(23, 36)
(23, 41)
(24, 25)
(24, 28)
(25, 29)
(25, 42)
(26, 30)
(26, 35)
(27, 31)
(27, 40)
(27, 45)
(28, 29)
(28, 32)
(29, 33)
(29, 46)
(30, 34)
(30, 39)
(31, 35)
(31, 44)
(31, 49)
(32, 33)
(32, 36)
(33, 37)
(33, 50)
(34, 38)
(34, 43)
(35, 39)
(35, 48)
(35, 53)
(36, 37)
(36, 40)
(37, 41)
(37, 54)
(38, 42)
(38, 47)
(39, 43)
(39, 52)
(39, 57)
(40, 41)
(40, 44)
(41, 58)
(42, 51)
(43, 56)
(43, 61)
(44, 45)
